2theta	Intensity	2theta	Intensity	2theta	Intensity	2theta	Intensity	2theta	Intensity	2theta	Intensity	2theta	Intensity
10.3435556	74.76087395258418	10.3435556	61.78527659452146	10.3435556	63.67522507419261	10.3435556	43.944725876820485	10.3435556	49.98465115599322	10.3435556	34.026904874045584	10.3435556	33.42062815517275
10.38702136	65.47880185363496	10.38702136	54.92177939471429	10.38702136	4.625329405939908	10.38702136	52.06498734983052	10.38702136	50.51439541307411	10.38702136	37.87227174890975	10.38702136	-11.799557613985229
10.43048712	62.19787616249789	10.43048712	46.06602374068888	10.43048712	22.58124249460542	10.43048712	5.201675963381604	10.43048712	46.050345138691796	10.43048712	18.722119150284215	10.43048712	-20.013385669860867
10.47395288	57.918095418861384	10.47395288	63.218854655472285	10.47395288	24.5429880564904	10.47395288	11.355444757887199	10.47395288	51.59302236891165	10.47395288	67.57654550324273	10.47395288	15.779211651965767
10.51741864	44.639458162414	10.51741864	54.38109188735751	10.51741864	77.51058624869819	10.51741864	42.526918203810965	10.51741864	23.142930056501086	10.51741864	51.435646969838075	10.51741864	26.578298623299276
10.5608844	90.36196293284422	10.5608844	67.55352963780814	10.5608844	45.4840536584158	10.5608844	41.716692165272434	10.5608844	60.70055191138965	10.5608844	49.29951738652531	10.5608844	-4.6160639342411685
10.60435016	54.08560826984055	10.60435016	46.736936327714545	10.60435016	25.46340329660933	10.60435016	1.9253338971875564	10.60435016	47.26635227188456	10.60435016	-0.8317517958857081	10.60435016	35.19618129806159
10.64781592	52.81039271309146	10.64781592	57.932054400772074	10.64781592	5.448644595971189	10.64781592	22.15338207460536	10.64781592	60.84077600544481	10.64781592	28.041928430229547	10.64781592	3.0150880880472926
10.69128168	77.53631480228543	10.69128168	39.13960016254049	10.69128168	30.43978341296969	10.69128168	11.401346852971074	10.69128168	15.424248437875235	10.69128168	96.92064457425036	10.69128168	-5.159293390680062
10.73474744	92.26337307711103	10.73474744	25.36026365394781	10.73474744	56.436822033837586	10.73474744	28.66970995804968	10.73474744	43.01717530979806	10.73474744	54.80448059470612	10.73474744	22.67308340237915
10.7782132	34.99156607725669	10.7782132	38.594708557917954	10.7782132	34.43975918435643	10.7782132	26.958924804174785	10.7782132	69.61994275933978	10.7782132	-7.306482150899768	10.7782132	6.512261340122137
10.82167896	57.720892342410934	10.82167896	-0.15642786205290804	10.82167896	6.448590043277534	10.82167896	31.26941663978232	10.82167896	28.23291732985092	10.82167896	31.58783504613885	10.82167896	4.358279597609368
10.86514472	46.45135041226226	10.86514472	50.10746520726087	10.86514472	32.46330625924901	10.86514472	15.601582718864847	10.86514472	68.85644600184389	10.86514472	43.487508200333565	10.86514472	13.21117362596479
